post_id,date,month,platform,campaign,format,theme,paid,impressions,reach,engagements,clicks,conversions,spend,revenue,follower_start,followers_gained,followers_lost,follower_end,response_hours
SM0017,2026-06-17,2026-06,Instagram,Always On,Carousel,Customer Story,1,7472,5137,455,82,3,402.59,244.31,28523,9,1,28531,31.1
SM0018,2026-06-18,2026-06,Instagram,Summer Launch,Static Image,Industry Insight,0,13090,8798,771,336,36,0,3358.2,28531,10,1,28540,24.2
SM0019,2026-06-19,2026-06,Instagram,Lead Gen,Article,Education,0,11908,8936,603,334,28,0,2358.45,28540,21,4,28557,30.5
SM0020,2026-06-20,2026-06,Instagram,Brand Trust,Live Clip,Customer Story,0,5153,3935,137,58,5,0,729.9,28557,10,2,28565,36.5
SM0021,2026-06-21,2026-06,Instagram,Always On,Short Video,Industry Insight,1,9426,6921,691,269,18,504.54,2093.2,28565,5,2,28568,42.6
SM0022,2026-06-22,2026-06,Instagram,Summer Launch,Carousel,Education,0,8304,5913,525,239,21,0,3496.27,28568,6,2,28572,31.3
SM0023,2026-06-23,2026-06,Instagram,Lead Gen,Static Image,Customer Story,0,12073,8238,405,370,28,0,4446.57,28572,9,3,28578,49
SM0024,2026-06-24,2026-06,Instagram,Brand Trust,Article,Industry Insight,0,13596,9946,759,325,12,0,1939.23,28578,11,4,28585,47.8
SM0025,2026-06-25,2026-06,Instagram,Always On,Live Clip,Education,1,7996,6183,503,83,7,223.2,979.94,28585,13,3,28595,21.1
SM0026,2026-06-26,2026-06,Instagram,Summer Launch,Short Video,Customer Story,0,16564,13067,496,448,21,0,1913.48,28595,24,3,28616,40.4
SM0027,2026-06-27,2026-06,Instagram,Lead Gen,Carousel,Industry Insight,0,8237,6188,486,190,18,0,2342.53,28616,14,4,28626,47.7
SM0028,2026-06-28,2026-06,Instagram,Brand Trust,Static Image,Education,0,4303,2939,116,64,5,0,655.78,28626,4,1,28629,16.1
SM0029,2026-06-29,2026-06,Instagram,Always On,Article,Customer Story,1,10193,7329,351,169,15,838.65,1173.48,28629,9,2,28636,37.9
SM0030,2026-06-30,2026-06,Instagram,Summer Launch,Live Clip,Industry Insight,0,3408,2428,179,41,3,0,385.29,28636,2,1,28637,14.1
SM0031,2026-06-01,2026-06,Facebook,Lead Gen,Carousel,Product,1,6141,4640,193,124,5,1154.88,711.28,19800,12,3,19809,42.6
SM0032,2026-06-02,2026-06,Facebook,Brand Trust,Static Image,Behind the Scenes,0,6454,4153,165,72,4,0,678.86,19809,6,2,19813,37.7
SM0033,2026-06-03,2026-06,Facebook,Always On,Article,Promotion,1,3166,2516,144,38,3,1090.22,226.16,19813,2,0,19815,14.1
SM0034,2026-06-04,2026-06,Facebook,Summer Launch,Live Clip,Product,0,7929,5881,262,78,5,0,641.91,19815,9,2,19822,23.9
SM0035,2026-06-05,2026-06,Facebook,Lead Gen,Short Video,Behind the Scenes,1,7213,5485,238,128,13,253.55,2341,19822,7,1,19828,20.5
SM0036,2026-06-06,2026-06,Facebook,Brand Trust,Carousel,Promotion,1,5108,4040,226,106,10,490.08,1486.62,19828,7,2,19833,13.4
SM0037,2026-06-07,2026-06,Facebook,Always On,Static Image,Product,0,7585,4984,314,106,10,0,937.05,19833,12,2,19843,21.5
SM0038,2026-06-08,2026-06,Facebook,Summer Launch,Article,Behind the Scenes,0,7473,5022,311,97,8,0,1232.91,19843,6,2,19847,25.1
SM0039,2026-06-09,2026-06,Facebook,Lead Gen,Live Clip,Promotion,1,8367,5520,311,78,6,899.68,1132.45,19847,12,3,19856,30.8
SM0040,2026-06-10,2026-06,Facebook,Brand Trust,Short Video,Product,0,10124,6392,313,115,4,0,350.83,19856,9,2,19863,25.3
SM0041,2026-06-11,2026-06,Facebook,Always On,Carousel,Behind the Scenes,0,3935,3005,67,37,3,0,399.29,19863,2,1,19864,11.4
SM0042,2026-06-12,2026-06,Facebook,Summer Launch,Static Image,Promotion,1,7387,5356,165,83,8,527.08,877.97,19864,12,3,19873,17.5
SM0043,2026-06-13,2026-06,Facebook,Lead Gen,Article,Product,1,8901,6793,274,136,11,1057.11,1549.55,19873,7,1,19879,24.9
SM0044,2026-06-14,2026-06,Facebook,Brand Trust,Live Clip,Behind the Scenes,0,6477,4834,260,125,8,0,1032.44,19879,8,1,19886,35.7
SM0045,2026-06-15,2026-06,Facebook,Always On,Short Video,Promotion,1,7313,4887,318,86,6,804.9,680.15,19886,11,4,19893,27.1
SM0046,2026-06-16,2026-06,Facebook,Summer Launch,Carousel,Product,0,4470,3329,134,56,4,0,709.89,19893,4,1,19896,21.7
SM0047,2026-06-17,2026-06,Facebook,Lead Gen,Static Image,Behind the Scenes,1,5573,3545,154,110,6,982.07,595.04,19896,6,2,19900,25.8
SM0048,2026-06-18,2026-06,Facebook,Brand Trust,Article,Promotion,1,4386,3200,114,40,3,519.02,496.5,19900,7,2,19905,35.8
SM0049,2026-06-19,2026-06,Facebook,Always On,Live Clip,Product,0,8591,6276,163,149,7,0,590.45,19905,14,2,19917,45.1
SM0050,2026-06-20,2026-06,Facebook,Summer Launch,Short Video,Behind the Scenes,0,3638,2370,152,71,5,0,534.34,19917,3,1,19919,18.2
SM0051,2026-06-21,2026-06,Facebook,Lead Gen,Carousel,Promotion,1,5715,3845,211,35,3,1125.39,261.47,19919,5,2,19922,28.4
SM0052,2026-06-22,2026-06,Facebook,Brand Trust,Static Image,Product,0,5041,3944,85,40,4,0,731.88,19922,4,1,19925,22.1
SM0053,2026-06-23,2026-06,Facebook,Always On,Article,Behind the Scenes,0,9640,7744,334,105,7,0,1071.19,19925,13,2,19936,24
SM0054,2026-06-24,2026-06,Facebook,Summer Launch,Live Clip,Promotion,1,9303,6098,158,83,5,526.6,900.53,19936,7,1,19942,33.5
SM0055,2026-06-25,2026-06,Facebook,Lead Gen,Short Video,Product,1,8461,5641,183,96,9,1087.14,1505.89,19942,5,1,19946,14.6
SM0056,2026-06-26,2026-06,Facebook,Brand Trust,Carousel,Behind the Scenes,0,7216,5823,283,153,15,0,2323.77,19946,4,1,19949,40.9
SM0057,2026-06-27,2026-06,Facebook,Always On,Static Image,Promotion,1,3707,2342,113,87,6,434.91,699.55,19949,4,1,19952,6.3
SM0058,2026-06-28,2026-06,Facebook,Summer Launch,Article,Product,0,2743,1855,119,39,2,0,365.65,19952,4,1,19955,10.1
SM0059,2026-06-29,2026-06,Facebook,Lead Gen,Live Clip,Behind the Scenes,1,9484,6775,198,91,9,303.49,1647.99,19955,10,4,19961,44.7
SM0060,2026-06-30,2026-06,Facebook,Brand Trust,Short Video,Promotion,1,11670,9072,402,170,9,220.18,1558.44,19961,8,2,19967,18
SM0061,2026-06-01,2026-06,LinkedIn,Always On,Static Image,Customer Story,1,3133,2366,107,58,3,600.58,358.94,12600,4,1,12603,25.9
SM0062,2026-06-02,2026-06,LinkedIn,Summer Launch,Article,Industry Insight,0,7683,6069,125,214,20,0,3031.76,12603,5,1,12607,11.3
SM0063,2026-06-03,2026-06,LinkedIn,Lead Gen,Live Clip,Education,0,4223,2889,82,136,17,0,2413.57,12607,3,1,12609,7.3
SM0064,2026-06-04,2026-06,LinkedIn,Brand Trust,Short Video,Customer Story,0,9066,7206,222,100,10,0,848.97,12609,11,2,12618,23.7
SM0065,2026-06-05,2026-06,LinkedIn,Always On,Carousel,Industry Insight,1,4694,2960,134,107,14,431.6,1403.01,12618,6,1,12623,36
SM0066,2026-06-06,2026-06,LinkedIn,Summer Launch,Static Image,Education,0,7073,5528,237,185,13,0,1027.3,12623,6,1,12628,18.9
SM0067,2026-06-07,2026-06,LinkedIn,Lead Gen,Article,Customer Story,0,3748,2696,132,85,5,0,893.54,12628,4,1,12631,43.8
SM0068,2026-06-08,2026-06,LinkedIn,Brand Trust,Live Clip,Industry Insight,0,2111,1520,36,49,6,0,459.92,12631,2,1,12632,16
SM0069,2026-06-09,2026-06,LinkedIn,Always On,Short Video,Education,1,7051,5032,109,105,10,847.69,1638.76,12632,5,1,12636,33.2
SM0070,2026-06-10,2026-06,LinkedIn,Summer Launch,Carousel,Customer Story,0,7533,4824,110,216,24,0,4062.86,12636,4,1,12639,38.7
SM0071,2026-06-11,2026-06,LinkedIn,Lead Gen,Static Image,Industry Insight,0,7064,5485,122,156,10,0,1607.71,12639,5,1,12643,42.9
SM0072,2026-06-12,2026-06,LinkedIn,Brand Trust,Article,Education,0,2598,2020,90,75,10,0,1277.36,12643,4,1,12646,18.5
SM0073,2026-06-13,2026-06,LinkedIn,Always On,Live Clip,Customer Story,1,8031,5998,265,137,6,1049.82,640.88,12646,6,1,12651,19.3
SM0074,2026-06-14,2026-06,LinkedIn,Summer Launch,Short Video,Industry Insight,0,10389,7647,208,272,36,0,4907.59,12651,8,2,12657,7.1
SM0075,2026-06-15,2026-06,LinkedIn,Lead Gen,Carousel,Education,0,8078,6393,222,186,10,0,1508.67,12657,5,1,12661,31.6
SM0076,2026-06-16,2026-06,LinkedIn,Brand Trust,Static Image,Customer Story,0,4993,3616,107,133,7,0,837.51,12661,7,1,12667,44.1
SM0077,2026-06-17,2026-06,LinkedIn,Always On,Article,Industry Insight,1,4872,3431,82,41,4,341.15,353.68,12667,5,2,12670,9.9
SM0078,2026-06-18,2026-06,LinkedIn,Summer Launch,Live Clip,Education,0,7056,4508,216,187,20,0,1675.12,12670,7,2,12675,30.6
SM0079,2026-06-19,2026-06,LinkedIn,Lead Gen,Short Video,Customer Story,0,4749,3202,65,151,11,0,1737.92,12675,5,1,12679,16
SM0080,2026-06-20,2026-06,LinkedIn,Brand Trust,Carousel,Industry Insight,0,2068,1584,73,48,5,0,424.04,12679,2,1,12680,9.8
SM0081,2026-06-21,2026-06,LinkedIn,Always On,Static Image,Education,1,6380,4591,125,61,8,621.76,1047.94,12680,11,3,12688,6.4
SM0082,2026-06-22,2026-06,LinkedIn,Summer Launch,Article,Customer Story,0,3984,2571,92,66,8,0,753.02,12688,2,1,12689,8.8
SM0083,2026-06-23,2026-06,LinkedIn,Lead Gen,Live Clip,Industry Insight,0,3154,2469,95,37,5,0,395.04,12689,6,2,12693,17.7
SM0084,2026-06-24,2026-06,LinkedIn,Brand Trust,Short Video,Education,0,10441,8336,314,261,24,0,4241.85,12693,20,7,12706,9.7
SM0085,2026-06-25,2026-06,LinkedIn,Always On,Carousel,Customer Story,1,6548,5202,221,77,5,480.75,689.53,12706,8,1,12713,10
SM0086,2026-06-26,2026-06,LinkedIn,Summer Launch,Static Image,Industry Insight,0,4827,3274,95,91,11,0,853.92,12713,2,0,12715,8.8
SM0087,2026-06-27,2026-06,LinkedIn,Lead Gen,Article,Education,0,6166,4954,129,94,13,0,2113.74,12715,12,3,12724,32.4
SM0088,2026-06-28,2026-06,LinkedIn,Brand Trust,Live Clip,Customer Story,0,6376,4184,190,134,13,0,1664.57,12724,4,1,12727,44
SM0089,2026-06-29,2026-06,LinkedIn,Always On,Short Video,Industry Insight,1,5775,4050,207,190,23,596.14,3192.18,12727,7,2,12732,19.4
SM0090,2026-06-30,2026-06,LinkedIn,Summer Launch,Carousel,Education,0,2665,1923,57,36,4,0,716.13,12732,4,1,12735,36.6
SM0091,2026-06-01,2026-06,TikTok,Lead Gen,Article,Behind the Scenes,1,12676,9368,554,148,12,1074.48,1121.84,22100,12,2,22110,48.5
SM0092,2026-06-02,2026-06,TikTok,Brand Trust,Live Clip,Promotion,1,16713,11302,1097,152,12,1041.26,1456.98,22110,14,5,22119,20.6
SM0093,2026-06-03,2026-06,TikTok,Always On,Short Video,Product,0,11208,8909,537,204,13,0,2012.85,22119,22,5,22136,23.9
SM0094,2026-06-04,2026-06,TikTok,Summer Launch,Carousel,Behind the Scenes,0,6816,5222,325,81,6,0,784.7,22136,12,3,22145,37.8
SM0095,2026-06-05,2026-06,TikTok,Lead Gen,Static Image,Promotion,1,10742,7277,730,203,8,846.82,1473.97,22145,10,2,22153,33.7
SM0096,2026-06-06,2026-06,TikTok,Brand Trust,Article,Product,0,8105,5893,419,70,4,0,554.47,22153,6,2,22157,28.1
SM0097,2026-06-07,2026-06,TikTok,Always On,Live Clip,Behind the Scenes,0,7158,4535,180,131,14,0,1622.38,22157,9,2,22164,44.8
SM0098,2026-06-08,2026-06,TikTok,Summer Launch,Short Video,Promotion,1,10516,8499,936,144,14,846.65,1579.95,22164,17,4,22177,50
SM0099,2026-06-09,2026-06,TikTok,Lead Gen,Carousel,Product,1,14996,9551,1026,178,13,604.14,1204.21,22177,14,4,22187,46.5
SM0100,2026-06-10,2026-06,TikTok,Brand Trust,Static Image,Behind the Scenes,0,11232,7623,481,91,5,0,687.24,22187,15,3,22199,34.8
SM0101,2026-06-11,2026-06,TikTok,Always On,Article,Promotion,1,17836,13835,1618,201,9,1024.7,703.27,22199,19,4,22214,49.3
SM0102,2026-06-12,2026-06,TikTok,Summer Launch,Live Clip,Product,0,5675,4190,294,107,9,0,1391.85,22214,9,3,22220,9.8
SM0103,2026-06-13,2026-06,TikTok,Lead Gen,Short Video,Behind the Scenes,1,23153,14977,1528,425,30,395.14,4448.91,22220,33,11,22242,20
SM0104,2026-06-14,2026-06,TikTok,Brand Trust,Carousel,Promotion,1,14359,11313,660,126,8,407.62,898.83,22242,10,2,22250,42.3
SM0105,2026-06-15,2026-06,TikTok,Always On,Static Image,Product,0,5117,3297,158,90,7,0,1054.41,22250,3,1,22252,35.3
SM0106,2026-06-16,2026-06,TikTok,Summer Launch,Article,Behind the Scenes,0,5302,3505,430,52,6,0,553.65,22252,8,2,22258,25.5
SM0107,2026-06-17,2026-06,TikTok,Lead Gen,Live Clip,Promotion,1,18394,13838,1481,190,17,305.37,1364.82,22258,33,8,22283,26
SM0108,2026-06-18,2026-06,TikTok,Brand Trust,Short Video,Product,0,22118,17724,1212,215,21,0,3250.66,22283,33,6,22310,10.7
SM0109,2026-06-19,2026-06,TikTok,Always On,Carousel,Behind the Scenes,0,12634,9845,1144,175,17,0,2090.59,22310,19,4,22325,6.8
SM0110,2026-06-20,2026-06,TikTok,Summer Launch,Static Image,Promotion,1,15651,12067,568,226,13,495.66,1792.82,22325,23,4,22344,42.2
SM0111,2026-06-21,2026-06,TikTok,Lead Gen,Article,Product,1,10650,7159,332,148,16,345.36,1467.3,22344,10,2,22352,46.5
SM0112,2026-06-22,2026-06,TikTok,Brand Trust,Live Clip,Behind the Scenes,0,4168,2978,261,64,2,0,163.24,22352,7,2,22357,25.6
SM0113,2026-06-23,2026-06,TikTok,Always On,Short Video,Promotion,1,22793,17325,1550,392,35,942.38,2826.92,22357,42,13,22386,29.1
SM0114,2026-06-24,2026-06,TikTok,Summer Launch,Carousel,Product,0,16650,12280,502,127,10,0,1275.85,22386,28,8,22406,22
SM0115,2026-06-25,2026-06,TikTok,Lead Gen,Static Image,Behind the Scenes,1,7917,5346,344,153,8,344.97,769.17,22406,8,2,22412,11.8
SM0116,2026-06-26,2026-06,TikTok,Brand Trust,Article,Promotion,1,6154,4059,214,106,10,549.87,1588.45,22412,6,1,22417,22
SM0117,2026-06-27,2026-06,TikTok,Always On,Live Clip,Product,0,4233,2717,184,52,5,0,717.27,22417,4,1,22420,38
SM0118,2026-06-28,2026-06,TikTok,Summer Launch,Short Video,Behind the Scenes,0,14814,9799,978,186,14,0,1489.39,22420,20,6,22434,38.7
SM0119,2026-06-29,2026-06,TikTok,Lead Gen,Carousel,Promotion,1,9182,7417,689,75,5,457.25,661.14,22434,12,4,22442,16.8
SM0120,2026-06-30,2026-06,TikTok,Brand Trust,Static Image,Product,0,5736,3847,157,108,11,0,1658.72,22442,8,1,22449,36.9
SM0121,2026-06-01,2026-06,YouTube,Always On,Live Clip,Industry Insight,1,6802,5161,227,56,3,1077.22,427.06,9700,4,1,9703,36.1
SM0122,2026-06-02,2026-06,YouTube,Summer Launch,Short Video,Education,0,10084,7346,413,218,13,0,1206.16,9703,12,3,9712,37
SM0123,2026-06-03,2026-06,YouTube,Lead Gen,Carousel,Customer Story,0,6788,4749,145,137,15,0,2170.98,9712,4,1,9715,38.9
SM0124,2026-06-04,2026-06,YouTube,Brand Trust,Static Image,Industry Insight,0,11526,8516,524,302,15,0,2676.74,9715,19,6,9728,28.3
SM0125,2026-06-05,2026-06,YouTube,Always On,Article,Education,1,3998,3018,95,88,9,511.47,857.63,9728,3,1,9730,24.4
SM0126,2026-06-06,2026-06,YouTube,Summer Launch,Live Clip,Customer Story,0,8261,6588,440,141,13,0,1037.91,9730,6,1,9735,31.2
SM0127,2026-06-07,2026-06,YouTube,Lead Gen,Short Video,Industry Insight,0,12554,9396,415,347,27,0,5020.81,9735,10,3,9742,41.9
SM0128,2026-06-08,2026-06,YouTube,Brand Trust,Carousel,Education,0,6135,4841,379,112,10,0,857.07,9742,6,1,9747,7.4
SM0129,2026-06-09,2026-06,YouTube,Always On,Static Image,Customer Story,1,9634,7199,399,205,21,927.83,2781,9747,13,3,9757,35.3
SM0130,2026-06-10,2026-06,YouTube,Summer Launch,Article,Industry Insight,0,5894,4633,294,82,3,0,346.47,9757,8,2,9763,29.8
SM0131,2026-06-11,2026-06,YouTube,Lead Gen,Live Clip,Education,0,13062,9938,392,358,31,0,2702.64,9763,19,4,9778,16.3
SM0132,2026-06-12,2026-06,YouTube,Brand Trust,Short Video,Customer Story,0,5556,3991,221,73,6,0,807.29,9778,7,1,9784,18.6
SM0133,2026-06-13,2026-06,YouTube,Always On,Carousel,Industry Insight,1,8335,5486,440,237,9,387.57,1593.13,9784,9,1,9792,33.1
SM0134,2026-06-14,2026-06,YouTube,Summer Launch,Static Image,Education,0,7022,4896,179,63,7,0,1249.8,9792,7,1,9798,9.7
SM0135,2026-06-15,2026-06,YouTube,Lead Gen,Article,Customer Story,0,6995,5038,266,171,14,0,2478.54,9798,8,2,9804,11.4
SM0136,2026-06-16,2026-06,YouTube,Brand Trust,Live Clip,Industry Insight,0,11483,8185,455,324,22,0,3661.16,9804,13,5,9812,42.4
SM0137,2026-06-17,2026-06,YouTube,Always On,Short Video,Education,1,14900,10467,503,331,33,243.69,5727.76,9812,22,5,9829,23
SM0138,2026-06-18,2026-06,YouTube,Summer Launch,Carousel,Customer Story,0,4978,3840,165,145,13,0,1785.14,9829,4,1,9832,26.7
SM0139,2026-06-19,2026-06,YouTube,Lead Gen,Static Image,Industry Insight,0,11675,9024,259,132,6,0,1032.17,9832,20,3,9849,37.6
SM0140,2026-06-20,2026-06,YouTube,Brand Trust,Article,Education,0,5460,4300,306,52,5,0,536.25,9849,4,1,9852,37.2
SM0141,2026-06-21,2026-06,YouTube,Always On,Live Clip,Customer Story,1,5746,4512,147,46,4,229.39,715.97,9852,9,2,9859,10.9
SM0142,2026-06-22,2026-06,YouTube,Summer Launch,Short Video,Industry Insight,0,4541,3323,271,40,2,0,179.95,9859,3,1,9861,34.5
SM0143,2026-06-23,2026-06,YouTube,Lead Gen,Carousel,Education,0,3720,2810,194,61,4,0,694.71,9861,5,2,9864,34.4
SM0144,2026-06-24,2026-06,YouTube,Brand Trust,Static Image,Customer Story,0,3032,1982,91,52,2,0,331.3,9864,2,1,9865,48
SM0145,2026-06-25,2026-06,YouTube,Always On,Article,Industry Insight,1,7585,5993,515,89,7,623.24,855.02,9865,14,2,9877,25.2
SM0146,2026-06-26,2026-06,YouTube,Summer Launch,Live Clip,Education,0,11761,8947,463,301,17,0,2412.63,9877,16,3,9890,41.8
SM0147,2026-06-27,2026-06,YouTube,Lead Gen,Short Video,Customer Story,0,11824,9429,458,118,11,0,2020.58,9890,17,6,9901,30.2
SM0148,2026-06-28,2026-06,YouTube,Brand Trust,Carousel,Industry Insight,0,9107,6509,379,207,16,0,2464.44,9901,12,3,9910,28.7
SM0149,2026-06-29,2026-06,YouTube,Always On,Static Image,Education,1,11687,9328,305,291,14,958.38,1555,9910,22,8,9924,16.2
SM0150,2026-06-30,2026-06,YouTube,Summer Launch,Article,Customer Story,0,4696,3347,128,69,7,0,715.07,9924,5,1,9928,21.7
SM0151,2026-07-01,2026-07,Instagram,Always On,Short Video,Education,1,13264,9882,639,149,15,526.66,1671.41,28928,9,1,28936,6.4
SM0152,2026-07-02,2026-07,Instagram,Summer Launch,Carousel,Customer Story,0,4543,2915,305,110,8,0,1208.8,28936,3,1,28938,9.6
SM0153,2026-07-03,2026-07,Instagram,Lead Gen,Static Image,Industry Insight,0,8669,5562,352,144,9,0,1491.83,28938,5,1,28942,23.5
SM0154,2026-07-04,2026-07,Instagram,Brand Trust,Article,Education,0,4322,2812,207,46,2,0,310.32,28942,5,1,28946,37.9
SM0155,2026-07-05,2026-07,Instagram,Always On,Live Clip,Customer Story,1,7701,5880,295,222,13,879.61,1623.61,28946,8,2,28952,38.5
SM0156,2026-07-06,2026-07,Instagram,Summer Launch,Short Video,Industry Insight,0,16179,10758,1076,303,16,0,2885.24,28952,19,2,28969,6.8
SM0157,2026-07-07,2026-07,Instagram,Lead Gen,Carousel,Education,0,16048,11117,593,397,44,0,6669.58,28969,10,2,28977,16.9
SM0158,2026-07-08,2026-07,Instagram,Brand Trust,Static Image,Customer Story,0,9312,6917,569,258,20,0,1683.27,28977,10,2,28985,45.3
SM0159,2026-07-09,2026-07,Instagram,Always On,Article,Industry Insight,1,14950,10519,467,125,8,955.85,1208.68,28985,19,3,29001,11.8
SM0160,2026-07-10,2026-07,Instagram,Summer Launch,Live Clip,Education,0,7125,4600,460,106,11,0,1739.55,29001,10,3,29008,40.8
SM0161,2026-07-11,2026-07,Instagram,Lead Gen,Short Video,Customer Story,0,6918,5220,316,205,17,0,1506.02,29008,9,2,29015,40.9
SM0162,2026-07-12,2026-07,Instagram,Brand Trust,Carousel,Industry Insight,0,8175,5360,401,196,18,0,1775.47,29015,11,2,29024,25.6
SM0163,2026-07-13,2026-07,Instagram,Always On,Static Image,Education,1,6612,5332,246,139,7,607.19,587.5,29024,11,3,29032,45.2
SM0164,2026-07-14,2026-07,Instagram,Summer Launch,Article,Customer Story,0,15891,12323,589,189,16,0,1431.45,29032,28,6,29054,32.1
SM0165,2026-07-15,2026-07,Instagram,Lead Gen,Live Clip,Industry Insight,0,5660,4131,355,64,3,0,538.84,29054,10,3,29061,38.6
SM0166,2026-07-16,2026-07,Instagram,Brand Trust,Short Video,Education,0,11955,9251,544,113,12,0,2019.71,29061,8,3,29066,26.8
SM0167,2026-07-17,2026-07,Instagram,Always On,Carousel,Customer Story,1,7364,4996,472,53,4,462.45,617.14,29066,4,1,29069,22.3
SM0168,2026-07-18,2026-07,Instagram,Summer Launch,Static Image,Industry Insight,0,9973,7536,354,217,11,0,2082.7,29069,16,4,29081,9.5
SM0169,2026-07-19,2026-07,Instagram,Lead Gen,Article,Education,0,9950,6991,711,302,12,0,2145.9,29081,14,4,29091,28.7
SM0170,2026-07-20,2026-07,Instagram,Brand Trust,Live Clip,Customer Story,0,5608,3647,278,151,9,0,1584.49,29091,4,1,29094,30.7
SM0171,2026-07-21,2026-07,Instagram,Always On,Short Video,Industry Insight,1,21540,17042,647,378,25,1122.27,3373.35,29094,19,4,29109,21.6
SM0172,2026-07-22,2026-07,Instagram,Summer Launch,Carousel,Education,0,16614,12636,1157,153,13,0,2007.71,29109,14,4,29119,29.9
SM0173,2026-07-23,2026-07,Instagram,Lead Gen,Static Image,Customer Story,0,14778,11280,391,148,8,0,927.92,29119,20,3,29136,35.4
SM0174,2026-07-24,2026-07,Instagram,Brand Trust,Article,Industry Insight,0,12437,8785,353,199,7,0,1171.3,29136,16,3,29149,6.7
SM0175,2026-07-25,2026-07,Instagram,Always On,Live Clip,Education,1,3833,2832,247,110,12,593.57,1156.8,29149,7,1,29155,26.1
SM0176,2026-07-26,2026-07,Instagram,Summer Launch,Short Video,Customer Story,0,12340,8714,737,263,16,0,2839.86,29155,17,5,29167,45.9
SM0177,2026-07-27,2026-07,Instagram,Lead Gen,Carousel,Industry Insight,0,5405,3716,370,155,15,0,1208.97,29167,4,1,29170,9.5
SM0178,2026-07-28,2026-07,Instagram,Brand Trust,Static Image,Education,0,13857,9824,705,201,12,0,2086.64,29170,12,2,29180,43.7
SM0179,2026-07-29,2026-07,Instagram,Always On,Article,Customer Story,1,6690,4617,247,122,5,356.61,607.83,29180,6,1,29185,20.5
SM0180,2026-07-30,2026-07,Instagram,Summer Launch,Live Clip,Industry Insight,0,11983,9111,630,359,13,0,1898.12,29185,21,4,29202,11.2
SM0181,2026-07-31,2026-07,Instagram,Lead Gen,Short Video,Education,0,7148,5212,332,155,17,0,2479.3,29202,9,2,29209,39.4
SM0182,2026-07-01,2026-07,Instagram,Brand Trust,Carousel,Customer Story,0,15250,11708,487,272,14,0,2540.73,29209,17,4,29222,35.3
SM0183,2026-07-02,2026-07,Instagram,Always On,Static Image,Industry Insight,1,4208,3229,252,85,8,552.73,949.24,29222,7,2,29227,44.9
SM0184,2026-07-03,2026-07,Instagram,Summer Launch,Article,Education,0,14680,10666,746,413,32,0,3385.92,29227,21,7,29241,41
SM0185,2026-07-01,2026-07,Facebook,Lead Gen,Carousel,Product,1,7954,5828,352,93,8,576.69,642.64,20128,9,1,20136,19
SM0186,2026-07-02,2026-07,Facebook,Brand Trust,Static Image,Behind the Scenes,0,8468,5706,310,86,9,0,1067.3,20136,14,4,20146,32.1
SM0187,2026-07-03,2026-07,Facebook,Always On,Article,Promotion,1,2688,1927,118,56,5,366.18,409.04,20146,4,1,20149,31.6
