review_id,review_date,product_id,rating,review_text,verified_purchase,helpful_votes,country
R00040,2026-04-09,P026,3,does what the listing says,True,3,United Kingdom
R00041,2026-01-01,P005,4,excellent price to performance,False,0,United Kingdom
R00042,2026-03-31,P019,5,worth every dollar,True,1,Germany
R00043,2025-10-17,P023,3,does what the listing says,True,4,United States
R00044,2025-11-11,P001,2,delivery took far too long,True,1,Germany
R00045,2025-11-07,P029,5,great value for the price,False,3,Germany
R00046,2026-02-25,P009,1,poor build quality and cheap materials,True,3,United States
R00047,2026-04-05,P005,4,excellent price to performance,True,3,United Kingdom
R00048,2026-01-10,P012,5,comfortable for long sessions,False,8,United States
R00049,2026-02-28,P006,3,average experience,True,0,United States
R00050,2025-11-01,P018,4,very durable in daily use,True,5,United States
R00051,2026-06-29,P001,5,fits perfectly and feels comfortable,True,4,Germany
R00052,2025-09-18,P020,1,fit is too tight,True,3,United States
R00053,2025-08-17,P005,5,easy to set up and use,True,1,Germany
R00054,2026-07-20,P005,5,has held up really well,True,1,Australia
R00055,2025-09-14,P004,3,does what the listing says,True,2,United States
R00056,2025-11-05,P027,1,broke much sooner than expected,True,1,United States
R00057,2026-07-31,P007,1,poor build quality and cheap materials,True,2,United States
R00058,2025-08-27,P002,3,acceptable overall with room to improve,True,2,United Kingdom
R00059,2025-10-28,P004,2,uncomfortable and badly sized,True,1,United States
R00060,2025-09-24,P018,1,frustrating to use,True,4,United States
R00061,2025-12-07,P014,3,acceptable overall with room to improve,True,2,United States
R00062,2025-12-20,P021,5,shipping was smooth,True,2,United States
R00063,2025-10-19,P004,5,simple controls and clear instructions,True,0,United States
R00064,2026-02-08,P002,5,shipping was smooth,False,1,United Kingdom
R00065,2025-10-08,P025,5,great value for the price,True,3,United States
R00066,2026-07-25,P017,1,box arrived crushed,True,0,United States
R00067,2025-10-16,P028,4,excellent price to performance,True,2,United States
R00068,2025-08-31,P026,4,worth every dollar,True,3,United Kingdom
R00069,2025-09-05,P013,2,does not fit as described,False,5,Canada
R00070,2025-11-17,P027,1,instructions are unclear,True,3,United States
R00071,2025-08-15,P003,1,fit is too tight,True,1,Australia
R00072,2026-04-02,P021,2,confusing setup and difficult controls,True,2,United States
R00073,2025-12-27,P019,5,has held up really well,False,7,Australia
R00074,2026-04-21,P002,2,stopped working after a few weeks,True,0,United States
R00075,2025-10-22,P009,5,feels premium and reliable,True,1,Germany
R00076,2026-01-08,P008,3,acceptable overall with room to improve,True,0,United States
R00077,2025-10-31,P027,1,instructions are unclear,True,3,United States
R00078,2026-06-07,P017,2,instructions are unclear,True,2,United States
R00079,2025-11-15,P011,5,easy to set up and use,True,1,United States
R00080,2025-11-30,P001,5,excellent price to performance,True,7,Canada
R00081,2025-09-27,P007,1,durability is unacceptable,True,1,Canada
R00082,2025-11-30,P023,4,fits perfectly and feels comfortable,True,0,United States
R00083,2026-05-27,P020,4,better quality than expected,True,2,United States
R00084,2026-04-24,P007,5,great value for the price,True,1,United States
R00085,2026-02-21,P013,5,arrived early and well packaged,True,5,Australia
R00086,2025-08-22,P002,5,very durable in daily use,True,1,Canada
R00087,2026-05-11,P005,4,fits perfectly and feels comfortable,True,3,United States
R00088,2026-04-23,P009,4,poor build quality and cheap materials,True,0,United States
R00089,2026-06-30,P022,4,arrived early and well packaged,True,1,United Kingdom
R00090,2026-07-27,P019,2,acceptable overall with room to improve,True,0,United Kingdom
R00091,2025-09-08,P018,3,acceptable overall with room to improve,True,2,Australia
R00092,2026-01-06,P011,4,better quality than expected,True,3,United Kingdom
R00093,2026-02-04,P016,3,does not fit as described,True,6,Australia
R00094,2025-12-30,P026,4,excellent build quality,True,0,Germany
R00095,2025-08-13,P007,4,fast delivery with no damage,True,0,United States
R00096,2026-06-16,P019,3,average experience,True,3,United States
R00097,2026-05-14,P026,5,great value for the price,True,7,Germany
R00098,2025-12-20,P028,2,does not fit as described,True,5,United States
R00099,2026-03-13,P021,5,has held up really well,True,4,Germany
R00100,2026-07-28,P006,5,arrived early and well packaged,False,0,United States
R00101,2025-10-09,P022,5,worth every dollar,True,4,United States
R00102,2025-10-16,P003,4,excellent build quality,True,0,United Kingdom
R00103,2026-01-07,P025,1,arrived late with damaged packaging,True,2,Germany
R00104,2026-03-03,P005,2,defective finish out of the box,False,8,United Kingdom
R00105,2025-11-13,P013,4,has held up really well,True,3,Canada
R00106,2025-10-13,P027,4,still works perfectly after months,True,1,United Kingdom
R00107,2026-02-17,P024,2,defective finish out of the box,True,1,Canada
R00108,2026-06-10,P002,5,very durable in daily use,True,0,United States
R00109,2025-09-10,P008,5,very durable in daily use,True,2,United Kingdom
R00110,2025-11-29,P014,5,fast delivery with no damage,True,3,Germany
R00111,2026-04-25,P020,1,confusing setup and difficult controls,True,8,United States
R00112,2026-02-20,P008,3,does what the listing says,True,1,Germany
R00113,2025-11-13,P016,5,size and fit are exactly right,False,8,Canada
R00114,2025-08-15,P030,2,poor build quality and cheap materials,True,0,United States
R00115,2026-03-30,P013,4,has held up really well,True,5,United States
R00116,2025-10-28,P011,5,feels premium and reliable,True,0,United States
R00117,2026-06-25,P022,3,works as expected,True,1,Australia
R00118,2025-10-27,P026,5,feels premium and reliable,True,3,Australia
R00119,2026-01-08,P017,4,simple controls and clear instructions,True,2,United Kingdom
R00120,2026-05-20,P011,4,arrived early and well packaged,True,1,United Kingdom
R00121,2025-11-11,P009,4,excellent build quality,True,0,Germany
R00122,2026-05-31,P013,1,overpriced for what it offers,True,3,United States
R00123,2025-10-17,P024,5,comfortable for long sessions,True,3,Germany
R00124,2025-11-20,P020,4,very durable in daily use,True,1,United States
R00125,2026-02-19,P028,2,defective finish out of the box,True,4,United States
R00126,2026-07-28,P022,5,fast delivery with no damage,True,1,United Kingdom
R00127,2025-11-28,P029,4,arrived early and well packaged,True,0,United Kingdom
R00128,2025-08-12,P030,3,works as expected,True,1,United States
R00129,2025-12-11,P029,3,acceptable overall with room to improve,True,1,United States
R00130,2026-05-12,P008,4,very durable in daily use,True,7,United States
R00131,2026-05-04,P001,5,has held up really well,True,3,United States
R00132,2025-12-14,P014,5,excellent build quality,True,7,Canada
R00133,2025-11-15,P011,5,very durable in daily use,True,6,United Kingdom
R00134,2025-08-02,P002,1,stopped working after a few weeks,True,0,United Kingdom
R00135,2026-02-23,P012,5,great value for the price,True,3,United States
R00136,2025-08-21,P006,5,fine,False,2,Canada
R00137,2025-12-29,P015,1,quality is disappointing,True,6,United States
R00138,2026-05-19,P020,5,better quality than expected,True,3,United States
R00139,2026-04-21,P016,4,comfortable for long sessions,True,2,Australia
R00140,2026-05-22,P020,4,works intuitively,True,2,United States
R00141,2026-05-08,P016,5,excellent build quality,True,1,Australia
R00142,2026-06-26,P024,4,very durable in daily use,False,7,Germany
R00143,2026-03-04,P021,4,worth every dollar,True,2,United States
R00144,2026-03-23,P022,1,arrived late with damaged packaging,True,1,Canada
R00145,2025-10-26,P019,5,fits perfectly and feels comfortable,True,3,United States
R00146,2026-07-28,P016,4,excellent build quality,True,12,United States
R00147,2026-07-01,P008,5,fast delivery with no damage,True,2,Australia
R00148,2025-11-28,P014,5,shipping was smooth,True,3,United States
R00149,2025-12-29,P002,3,broke much sooner than expected,True,0,Canada
R00150,2026-07-09,P014,5,simple controls and clear instructions,True,4,Canada
R00151,2026-07-17,P020,4,shipping was smooth,True,9,United States
R00152,2025-11-04,P001,5,worth every dollar,True,3,United States
R00153,2025-08-15,P003,4,very durable in daily use,True,2,United States
R00154,2026-03-04,P029,4,fits perfectly and feels comfortable,True,1,United Kingdom
R00155,2025-11-30,P017,5,simple controls and clear instructions,True,5,United Kingdom
R00156,2025-11-16,P019,2,broke much sooner than expected,True,7,United States
R00157,2025-11-12,P019,1,does not fit as described,True,1,United States
R00158,2026-04-13,P009,5,size and fit are exactly right,True,3,United States
R00159,2026-06-18,P025,4,excellent price to performance,False,4,United States
R00160,2025-12-24,P017,1,confusing setup and difficult controls,True,4,Germany
R00161,2026-05-25,P002,3,broke much sooner than expected,False,3,United States
R00162,2025-08-06,P019,5,excellent build quality,True,2,Canada
R00163,2026-07-29,P025,3,works as expected,True,1,United States
R00164,2025-12-09,P014,1,poor value compared with alternatives,True,2,United States
R00165,2026-03-10,P019,4,simple controls and clear instructions,True,8,Germany
R00166,2025-08-09,P030,4,arrived early and well packaged,True,1,United Kingdom
R00167,2025-12-20,P002,5,very durable in daily use,True,3,Canada
R00168,2026-06-18,P029,4,fits perfectly and feels comfortable,True,0,Germany
R00169,2026-03-28,P029,4,excellent price to performance,True,12,Canada
R00170,2026-01-07,P029,4,fits perfectly and feels comfortable,True,7,Germany
R00171,2025-11-02,P005,3,poor value compared with alternatives,True,2,Germany
R00172,2025-08-02,P005,4,great value for the price,True,6,United States
R00173,2026-07-21,P005,5,better quality than expected,True,3,United Kingdom
R00174,2026-03-16,P007,3,does what the listing says,False,6,Canada
R00175,2025-09-10,P001,3,acceptable overall with room to improve,True,1,United Kingdom
R00176,2026-02-08,P019,4,arrived early and well packaged,True,2,United States
R00177,2025-10-22,P019,1,instructions are unclear,True,3,United Kingdom
R00178,2026-07-02,P025,2,uncomfortable and badly sized,True,1,United States
R00179,2026-02-26,P009,3,stopped working after a few weeks,True,5,United Kingdom
R00180,2026-04-16,P005,4,great value for the price,True,3,United States
R00181,2026-01-04,P009,3,defective finish out of the box,True,4,United Kingdom
R00182,2025-10-24,P022,5,shipping was smooth,True,1,Australia
R00183,2026-05-25,P006,1,delivery took far too long,True,2,United States
R00184,2026-01-22,P003,3,does not fit as described,True,0,Australia
R00185,2025-10-21,P008,2,delivery took far too long,True,0,United States
R00186,2025-08-01,P020,4,comfortable for long sessions,False,3,Australia
R00187,2026-02-14,P014,5,worth every dollar,True,8,United Kingdom
R00188,2026-05-06,P017,2,frustrating to use,True,1,Canada
R00189,2026-03-27,P019,1,instructions are unclear,True,5,Canada
R00190,2026-07-19,P007,5,arrived early and well packaged,True,1,United Kingdom
R00191,2025-11-07,P024,5,easy to set up and use,True,2,United Kingdom
R00192,2026-01-18,P009,5,excellent build quality,True,2,Germany
R00193,2026-07-31,P002,1,durability is unacceptable,True,1,United States
R00194,2026-07-05,P009,1,defective finish out of the box,False,6,United States
R00195,2026-07-03,P015,4,fits perfectly and feels comfortable,True,4,United States
R00196,2025-09-03,P012,5,great value for the price,True,0,United States
R00197,2025-11-26,P029,5,size and fit are exactly right,True,7,Canada
R00198,2026-07-22,P026,5,excellent price to performance,True,2,United States
R00199,2025-10-16,P020,5,simple controls and clear instructions,True,0,Canada
R00200,2025-11-15,P008,3,does what the listing says,True,0,United Kingdom
R00201,2025-09-07,P007,4,feels premium and reliable,True,2,United States
R00202,2026-01-14,P023,1,not worth the price,False,6,United States
R00203,2026-03-19,P003,5,great value for the price,True,3,Germany
R00204,2026-04-04,P026,5,simple controls and clear instructions,True,1,Australia
R00205,2026-07-28,P018,3,works as expected,True,2,Australia
R00206,2026-03-07,P025,5,shipping was smooth,True,4,United States
R00207,2026-06-23,P025,5,fits perfectly and feels comfortable,True,1,United Kingdom
R00208,2026-05-25,P018,5,great value for the price,True,0,Canada
R00209,2026-07-12,P005,4,size and fit are exactly right,True,7,United States
R00210,2025-08-22,P015,5,fast delivery with no damage,True,0,Australia
R00211,2026-01-26,P029,5,great value for the price,True,0,Canada
R00212,2026-07-05,P018,5,fast delivery with no damage,True,7,United States
R00213,2025-10-15,P016,3,works as expected,True,0,United Kingdom
R00214,2026-06-29,P019,4,excellent price to performance,False,3,United States
R00215,2025-12-17,P005,4,great value for the price,True,0,Canada
R00216,2025-10-28,P023,5,easy to set up and use,False,2,United States
R00217,2025-11-03,P030,4,feels premium and reliable,True,1,United States
R00218,2026-07-27,P002,4,durability is unacceptable,True,3,Australia
R00219,2025-10-22,P008,3,acceptable overall with room to improve,True,2,United Kingdom
R00220,2026-03-22,P013,5,ok,False,2,United Kingdom
R00221,2025-11-28,P022,5,arrived early and well packaged,True,2,United Kingdom
R00222,2026-05-02,P011,3,average experience,True,2,United States
R00223,2025-10-25,P030,4,fast delivery with no damage,True,5,Canada
R00224,2025-10-08,P012,3,does what the listing says,True,3,United Kingdom
R00225,2026-05-07,P003,5,better quality than expected,True,6,Germany
R00226,2026-05-11,P006,4,easy to set up and use,True,2,United States
R00227,2026-01-31,P007,5,excellent price to performance,True,1,United States
R00228,2026-06-27,P005,5,still works perfectly after months,True,10,United States
R00229,2025-09-25,P015,5,comfortable for long sessions,True,1,Germany
R00230,2025-10-09,P003,4,shipping was smooth,False,0,Canada
R00231,2026-03-07,P005,5,very durable in daily use,True,1,Germany
R00232,2026-01-02,P003,4,shipping was smooth,True,4,United States
R00233,2026-06-26,P020,2,defective finish out of the box,True,1,United States
R00234,2026-07-03,P003,4,excellent price to performance,True,0,Germany
R00235,2025-11-12,P004,5,shipping was smooth,True,1,United Kingdom
R00236,2026-03-29,P019,1,quality is disappointing,True,3,Canada
R00237,2026-04-21,P001,1,does not fit as described,True,0,United States
R00238,2026-04-12,P025,4,fast delivery with no damage,True,6,United Kingdom
R00239,2026-05-04,P019,5,shipping was smooth,True,2,Canada
R00240,2025-08-25,P015,5,feels premium and reliable,True,0,United States
R00241,2025-10-22,P021,3,average experience,True,3,Australia
R00242,2026-02-18,P030,4,simple controls and clear instructions,True,1,United States
R00243,2025-10-24,P015,4,excellent price to performance,False,1,Australia
R00244,2025-12-12,P019,5,great value for the price,True,4,United States
R00245,2025-09-12,P026,1,confusing setup and difficult controls,True,3,United States
R00246,2026-06-09,P029,4,fast delivery with no damage,True,1,Canada
R00247,2025-11-17,P027,5,excellent price to performance,True,9,United States
R00248,2026-05-14,P023,5,has held up really well,True,3,United Kingdom
R00249,2026-03-17,P001,4,excellent build quality,True,0,United Kingdom
R00250,2025-11-29,P026,4,frustrating to use,True,1,United Kingdom
R00251,2025-09-21,P030,1,uncomfortable and badly sized,True,4,Germany
R00252,2026-01-09,P001,3,average experience,True,8,United Kingdom
R00253,2026-06-16,P010,5,comfortable for long sessions,True,4,United States
R00254,2026-01-29,P012,1,durability is unacceptable,True,3,United States
R00255,2025-08-06,P028,5,excellent price to performance,True,10,United States
R00256,2025-12-29,P024,5,feels premium and reliable,True,4,United Kingdom
R00257,2026-04-19,P018,4,comfortable for long sessions,True,2,United States
R00258,2025-12-11,P002,5,easy to set up and use,True,2,United Kingdom
R00259,2026-07-22,P024,5,fits perfectly and feels comfortable,True,4,Germany
R00260,2025-10-12,P001,4,shipping was smooth,False,1,Canada
R00261,2026-06-30,P017,1,does not fit as described,True,0,United States
R00262,2025-09-22,P005,4,easy to set up and use,True,4,United Kingdom
R00263,2026-06-07,P024,5,great value for the price,True,0,United States
R00264,2026-02-21,P026,5,easy to set up and use,True,2,United States
R00265,2026-06-19,P024,1,instructions are unclear,True,2,United Kingdom
R00266,2026-06-08,P008,4,excellent price to performance,True,3,Australia
R00267,2026-02-01,P014,3,acceptable overall with room to improve,True,0,Canada
R00268,2026-05-01,P018,5,size and fit are exactly right,True,0,Germany
R00269,2025-08-05,P007,4,shipping was smooth,True,4,United States
R00270,2025-09-24,P003,2,delivery took far too long,True,0,United States
R00271,2026-06-05,P024,5,worth every dollar,True,1,United States
R00272,2025-12-05,P010,5,easy to set up and use,False,3,United States
R00273,2026-07-31,P029,5,shipping was smooth,True,7,United States
R00274,2026-06-01,P025,3,acceptable overall with room to improve,True,2,United Kingdom
R00275,2025-08-31,P025,3,average experience,True,0,United Kingdom
R00276,2026-02-20,P030,5,has held up really well,True,1,Canada
R00277,2026-04-18,P006,3,acceptable overall with room to improve,True,6,Australia
R00278,2026-07-09,P009,4,feels premium and reliable,True,1,United States
R00279,2026-05-05,P001,3,acceptable overall with room to improve,True,3,Germany
R00280,2026-06-29,P009,3,quality is disappointing,True,0,United States
R00281,2025-11-14,P030,5,arrived early and well packaged,False,3,United States
R00282,2026-07-06,P029,2,does not fit as described,True,1,United States
R00283,2025-10-06,P009,1,not worth the price,False,9,United States
R00284,2026-06-07,P024,5,excellent build quality,True,2,United States
R00285,2026-06-14,P002,2,stopped working after a few weeks,True,5,Canada
R00286,2026-05-10,P026,2,fit is too tight,True,0,United States
R00287,2026-05-09,P019,4,very durable in daily use,True,5,United States
R00288,2026-06-23,P005,5,still works perfectly after months,True,3,Canada
R00289,2025-12-12,P001,4,excellent build quality,True,0,Canada
R00290,2025-12-04,P002,5,still works perfectly after months,True,2,United States
R00291,2026-02-21,P010,5,arrived early and well packaged,True,1,United States
R00292,2026-04-22,P005,4,excellent price to performance,True,2,United States
R00293,2026-01-16,P008,4,size and fit are exactly right,True,2,United Kingdom
R00294,2025-12-22,P006,4,fits perfectly and feels comfortable,True,1,United States
R00295,2025-11-17,P007,5,shipping was smooth,True,0,United Kingdom
R00296,2025-11-16,P020,4,excellent price to performance,True,0,United States
R00297,2026-07-19,P030,5,shipping was smooth,True,3,United Kingdom
R00298,2025-11-09,P026,2,not worth the price,True,0,Canada
R00299,2026-01-27,P015,3,does what the listing says,True,2,United States
R00300,2025-12-21,P006,1,does not fit as described,True,1,Germany
R00301,2025-08-25,P029,5,very durable in daily use,True,3,United States
R00302,2026-03-04,P014,1,fine,True,14,United States
R00303,2025-12-15,P015,3,acceptable overall with room to improve,True,1,United States
R00304,2026-03-19,P020,5,still works perfectly after months,True,6,Germany
R00305,2025-09-28,P025,5,works intuitively,True,5,United States
R00306,2025-12-18,P004,4,great value for the price,True,3,United States
R00307,2025-09-08,P008,2,acceptable overall with room to improve,False,0,Germany
R00308,2025-12-25,P020,5,size and fit are exactly right,True,1,Germany
R00309,2025-11-03,P026,4,fast delivery with no damage,True,1,United States
R00310,2025-09-08,P007,5,has held up really well,True,3,Australia
R00311,2026-07-17,P008,5,better quality than expected,True,1,United Kingdom
R00312,2026-01-10,P022,2,arrived late with damaged packaging,True,2,United Kingdom
R00313,2026-05-11,P007,5,size and fit are exactly right,True,5,United States
R00314,2026-01-04,P022,1,not worth the price,True,0,United States
R00315,2025-12-08,P028,5,excellent price to performance,True,2,United States
R00316,2026-05-11,P005,5,excellent build quality,True,3,Australia
R00317,2025-09-19,P027,5,worth every dollar,True,2,United States
R00318,2025-12-15,P004,3,does what the listing says,True,6,Canada
R00319,2025-09-01,P017,2,instructions are unclear,True,3,United States
R00320,2026-05-15,P020,5,works intuitively,True,4,Germany
R00321,2026-06-11,P017,2,instructions are unclear,True,4,United States
R00322,2026-05-09,P030,4,size and fit are exactly right,True,5,United States
R00323,2026-06-20,P011,4,better quality than expected,True,5,Germany
R00324,2025-08-16,P011,4,comfortable for long sessions,True,1,Canada
R00325,2026-07-21,P018,2,stopped working after a few weeks,True,1,Canada
R00326,2026-05-11,P018,3,works as expected,True,0,United Kingdom
R00327,2026-04-16,P013,5,shipping was smooth,True,5,Germany
R00328,2026-03-31,P003,2,frustrating to use,False,3,United States
R00329,2026-02-17,P026,5,very durable in daily use,True,3,United States
R00330,2026-07-31,P029,5,great value for the price,True,1,Australia
R00331,2025-10-15,P001,5,still works perfectly after months,True,2,United States
R00332,2026-04-21,P004,4,worth every dollar,True,1,United States
R00333,2025-08-30,P014,3,instructions are unclear,True,0,Canada
R00334,2025-09-26,P006,3,acceptable overall with room to improve,True,6,United States
R00335,2026-04-15,P015,4,has held up really well,True,4,United Kingdom
R00336,2026-07-09,P001,5,feels premium and reliable,True,2,United States
R00337,2025-11-27,P025,5,still works perfectly after months,True,3,United Kingdom
R00338,2025-09-22,P005,2,poor value compared with alternatives,True,3,Australia
R00339,2025-10-05,P013,4,shipping was smooth,True,2,Canada
R00340,2025-10-25,P005,3,stopped working after a few weeks,True,1,Australia
R00341,2026-02-22,P023,3,works as expected,True,1,Australia
R00342,2026-04-16,P023,5,shipping was smooth,True,5,Australia
R00343,2026-01-10,P021,4,arrived early and well packaged,True,0,United States
R00344,2026-02-02,P005,5,shipping was smooth,True,3,Germany
R00345,2025-10-03,P008,4,works intuitively,True,6,United Kingdom
R00346,2026-06-01,P003,4,better quality than expected,True,0,United States
R00347,2026-04-02,P029,4,,True,0,Canada
R00348,2025-08-07,P002,5,still works perfectly after months,True,1,United States
R00349,2026-04-19,P001,4,excellent price to performance,True,1,United Kingdom
R00350,2025-08-09,P002,3,stopped working after a few weeks,True,1,United States
R00351,2026-02-01,P021,5,size and fit are exactly right,True,7,United States
R00352,2026-05-07,P002,3,stopped working after a few weeks,True,0,United States
R00353,2025-08-09,P029,5,fits perfectly and feels comfortable,True,4,Germany
R00354,2025-10-24,P003,3,arrived late with damaged packaging,True,4,Canada
R00355,2026-06-09,P021,4,simple controls and clear instructions,True,1,United States
R00356,2026-01-18,P023,4,simple controls and clear instructions,True,5,Australia
R00357,2026-06-22,P005,2,broke much sooner than expected,True,11,Canada
R00358,2026-01-29,P018,5,has held up really well,True,1,United States
R00359,2026-01-15,P017,5,easy to set up and use,True,0,United States
R00360,2026-07-03,P024,5,great value for the price,True,7,United States
R00361,2026-02-13,P006,4,excellent price to performance,True,0,Canada
R00362,2026-05-25,P028,5,great value for the price,True,5,United States
R00363,2026-02-05,P018,5,easy to set up and use,True,4,Germany
R00364,2026-07-09,P026,3,works as expected,True,4,Australia
R00365,2026-01-18,P014,5,worth every dollar,True,1,Canada
R00366,2026-04-16,P006,5,feels premium and reliable,True,6,Canada
R00367,2026-03-05,P027,4,fast delivery with no damage,True,1,United States
R00368,2026-01-27,P016,5,fine,True,3,Germany
R00369,2026-03-03,P011,5,arrived early and well packaged,True,7,United States
R00370,2026-05-02,P002,5,has held up really well,True,1,Australia
R00371,2026-04-14,P010,5,arrived early and well packaged,True,4,United States
R00372,2025-10-20,P002,1,not worth the price,True,4,Canada
R00373,2025-12-19,P018,4,worth every dollar,True,6,United States
R00374,2025-08-02,P022,2,arrived late with damaged packaging,True,1,Canada
R00375,2025-08-14,P019,4,excellent build quality,True,2,Canada
R00376,2026-02-01,P006,5,has held up really well,True,0,Australia
R00377,2026-04-01,P019,3,does what the listing says,True,2,Germany
R00378,2026-07-25,P030,3,average experience,True,0,Germany
R00379,2026-05-31,P003,4,better quality than expected,True,5,United States
R00380,2025-11-27,P028,5,worth every dollar,True,4,United States
R00381,2026-07-15,P020,4,worth every dollar,True,0,Canada
R00382,2026-07-24,P017,3,confusing setup and difficult controls,True,1,United States
R00383,2025-11-08,P005,5,fast delivery with no damage,True,5,United States
R00384,2026-01-29,P002,2,durability is unacceptable,True,2,United States
R00385,2026-04-05,P006,5,simple controls and clear instructions,True,0,United Kingdom
R00386,2026-06-22,P019,5,size and fit are exactly right,True,0,United States
R00387,2025-12-08,P019,3,works as expected,True,1,United States
R00388,2026-07-19,P016,1,stopped working after a few weeks,True,4,Germany
R00389,2026-03-18,P002,2,broke much sooner than expected,True,2,United States
R00390,2026-01-19,P015,1,broke much sooner than expected,True,2,United States
R00391,2025-09-04,P030,4,very durable in daily use,True,0,Canada
R00392,2026-03-13,P015,5,feels premium and reliable,True,1,Canada
R00393,2025-10-03,P014,5,fast delivery with no damage,True,3,United States
R00394,2026-05-14,P012,5,feels premium and reliable,True,7,Canada
R00395,2026-07-19,P015,3,average experience,True,1,Canada
R00396,2026-05-29,P018,5,great value for the price,True,3,Canada
R00397,2026-05-17,P007,1,fit is too tight,True,5,United States
R00398,2026-06-21,P029,5,fits perfectly and feels comfortable,True,2,United States
R00399,2026-04-13,P021,2,average experience,True,3,United States
R00400,2026-04-22,P003,5,comfortable for long sessions,True,2,United States
R00401,2026-02-04,P023,4,simple controls and clear instructions,True,1,United States
R00402,2026-05-08,P025,3,acceptable overall with room to improve,True,0,United States
R00403,2026-01-08,P003,5,comfortable for long sessions,True,0,Germany
R00404,2025-09-28,P006,3,works as expected,True,3,United States
R00405,2026-02-04,P002,1,broke much sooner than expected,True,0,United States
R00406,2025-10-22,P018,2,broke much sooner than expected,True,4,United States
R00407,2026-02-17,P020,3,works as expected,True,8,Canada
R00408,2025-12-15,P022,5,shipping was smooth,True,7,United States
R00409,2026-04-08,P024,5,better quality than expected,True,1,Australia
R00410,2025-11-20,P028,1,not worth the price,True,1,United States
R00411,2025-09-10,P023,3,works as expected,True,1,United States
R00412,2026-05-27,P018,5,better quality than expected,True,0,Germany
R00413,2026-01-20,P025,3,does what the listing says,True,1,United States
R00414,2025-08-03,P030,4,shipping was smooth,True,0,United States
R00415,2026-04-24,P008,1,,True,6,Germany
R00416,2026-03-30,P022,5,feels premium and reliable,True,0,United Kingdom
R00417,2026-03-24,P009,4,excellent build quality,True,1,United States
R00418,2025-12-08,P008,5,great value for the price,True,7,United States
R00419,2025-10-12,P008,5,simple controls and clear instructions,True,7,Canada
R00420,2026-02-01,P019,4,worth every dollar,True,5,United States
R00421,2025-11-15,P019,4,fits perfectly and feels comfortable,True,3,Canada
R00422,2026-04-24,P001,4,very durable in daily use,True,8,Canada
R00423,2025-08-28,P003,5,great value for the price,True,0,United States
R00424,2025-10-08,P030,2,durability is unacceptable,True,8,United States
R00425,2026-05-22,P017,3,average experience,True,2,United States
R00426,2025-12-09,P003,1,poor value compared with alternatives,True,11,United States
R00427,2026-07-15,P006,5,has held up really well,True,0,United States
R00428,2025-10-18,P012,3,,True,0,Australia
R00429,2026-01-01,P010,4,arrived early and well packaged,True,1,United States
