review_id,review_date,product_id,rating,review_text,verified_purchase,helpful_votes,country,text_sentiment,primary_topic,topic_evidence,rating_sentiment,sentiment_mismatch,review_month
R00022,2026-05-31,P022,5,arrived early and well packaged,True,5,Germany,positive,delivery,1,positive,False,2026-05
R00023,2025-11-25,P001,5,still works perfectly after months,True,1,United States,positive,durability,1,positive,False,2025-11
R00024,2025-10-14,P006,5,great value for the price,True,2,United States,positive,value,2,positive,False,2025-10
R00025,2026-06-11,P001,4,worth every dollar,True,3,Canada,positive,value,1,positive,False,2026-06
R00026,2025-11-11,P007,5,feels premium and reliable,True,1,Germany,positive,unclassified,0,positive,False,2025-11
R00027,2026-02-13,P028,2,poor value compared with alternatives,True,0,United States,negative,value,1,negative,False,2026-02
R00028,2025-12-27,P012,5,still works perfectly after months,True,2,United States,positive,durability,1,positive,False,2025-12
R00029,2026-07-20,P030,5,shipping was smooth,True,6,United States,positive,delivery,1,positive,False,2026-07
R00030,2026-03-07,P006,5,excellent build quality,True,0,Germany,positive,quality,1,positive,False,2026-03
R00031,2025-12-16,P029,2,quality is disappointing,True,1,Germany,negative,quality,1,negative,False,2025-12
R00032,2026-01-31,P003,2,uncomfortable and badly sized,True,4,United States,negative,fit,2,negative,False,2026-01
R00033,2025-12-13,P010,4,fits perfectly and feels comfortable,True,3,United States,positive,fit,2,positive,False,2025-12
R00034,2025-09-23,P002,2,durability is unacceptable,True,8,United States,negative,unclassified,0,negative,False,2025-09
R00035,2026-02-16,P023,4,easy to set up and use,True,4,United States,positive,usability,1,positive,False,2026-02
R00036,2026-02-10,P008,1,arrived late with damaged packaging,True,5,United Kingdom,negative,delivery,2,negative,False,2026-02
R00037,2025-11-02,P001,2,excellent build quality,True,2,Germany,positive,quality,1,negative,True,2025-11
R00038,2025-09-03,P019,4,easy to set up and use,True,4,United Kingdom,positive,usability,1,positive,False,2025-09
R00039,2026-03-08,P014,2,quality is disappointing,True,1,United Kingdom,negative,quality,1,negative,False,2026-03
R00040,2026-04-09,P026,3,does what the listing says,True,3,United Kingdom,neutral,unclassified,0,neutral,False,2026-04
R00041,2026-01-01,P005,4,excellent price to performance,False,0,United Kingdom,positive,value,1,positive,False,2026-01
R00042,2026-03-31,P019,5,worth every dollar,True,1,Germany,positive,value,1,positive,False,2026-03
R00043,2025-10-17,P023,3,does what the listing says,True,4,United States,neutral,unclassified,0,neutral,False,2025-10
R00044,2025-11-11,P001,2,delivery took far too long,True,1,Germany,neutral,delivery,1,negative,False,2025-11
R00045,2025-11-07,P029,5,great value for the price,False,3,Germany,positive,value,2,positive,False,2025-11
R00046,2026-02-25,P009,1,poor build quality and cheap materials,True,3,United States,negative,quality,2,negative,False,2026-02
R00047,2026-04-05,P005,4,excellent price to performance,True,3,United Kingdom,positive,value,1,positive,False,2026-04
R00048,2026-01-10,P012,5,comfortable for long sessions,False,8,United States,positive,fit,1,positive,False,2026-01
R00049,2026-02-28,P006,3,average experience,True,0,United States,neutral,unclassified,0,neutral,False,2026-02
R00050,2025-11-01,P018,4,very durable in daily use,True,5,United States,positive,durability,1,positive,False,2025-11
R00051,2026-06-29,P001,5,fits perfectly and feels comfortable,True,4,Germany,positive,fit,2,positive,False,2026-06
R00052,2025-09-18,P020,1,fit is too tight,True,3,United States,negative,fit,2,negative,False,2025-09
R00053,2025-08-17,P005,5,easy to set up and use,True,1,Germany,positive,usability,1,positive,False,2025-08
R00054,2026-07-20,P005,5,has held up really well,True,1,Australia,neutral,unclassified,0,positive,False,2026-07
R00055,2025-09-14,P004,3,does what the listing says,True,2,United States,neutral,unclassified,0,neutral,False,2025-09
R00056,2025-11-05,P027,1,broke much sooner than expected,True,1,United States,negative,durability,1,negative,False,2025-11
R00057,2026-07-31,P007,1,poor build quality and cheap materials,True,2,United States,negative,quality,2,negative,False,2026-07
R00058,2025-08-27,P002,3,acceptable overall with room to improve,True,2,United Kingdom,neutral,unclassified,0,neutral,False,2025-08
R00059,2025-10-28,P004,2,uncomfortable and badly sized,True,1,United States,negative,fit,2,negative,False,2025-10
R00060,2025-09-24,P018,1,frustrating to use,True,4,United States,negative,usability,1,negative,False,2025-09
R00061,2025-12-07,P014,3,acceptable overall with room to improve,True,2,United States,neutral,unclassified,0,neutral,False,2025-12
R00062,2025-12-20,P021,5,shipping was smooth,True,2,United States,positive,delivery,1,positive,False,2025-12
R00063,2025-10-19,P004,5,simple controls and clear instructions,True,0,United States,positive,usability,2,positive,False,2025-10
R00064,2026-02-08,P002,5,shipping was smooth,False,1,United Kingdom,positive,delivery,1,positive,False,2026-02
R00065,2025-10-08,P025,5,great value for the price,True,3,United States,positive,value,2,positive,False,2025-10
R00066,2026-07-25,P017,1,box arrived crushed,True,0,United States,negative,delivery,2,negative,False,2026-07
R00067,2025-10-16,P028,4,excellent price to performance,True,2,United States,positive,value,1,positive,False,2025-10
R00068,2025-08-31,P026,4,worth every dollar,True,3,United Kingdom,positive,value,1,positive,False,2025-08
R00069,2025-09-05,P013,2,does not fit as described,False,5,Canada,negative,fit,1,negative,False,2025-09
R00070,2025-11-17,P027,1,instructions are unclear,True,3,United States,negative,usability,1,negative,False,2025-11
R00071,2025-08-15,P003,1,fit is too tight,True,1,Australia,negative,fit,2,negative,False,2025-08
R00072,2026-04-02,P021,2,confusing setup and difficult controls,True,2,United States,negative,usability,2,negative,False,2026-04
R00073,2025-12-27,P019,5,has held up really well,False,7,Australia,neutral,unclassified,0,positive,False,2025-12
R00074,2026-04-21,P002,2,stopped working after a few weeks,True,0,United States,negative,durability,2,negative,False,2026-04
R00075,2025-10-22,P009,5,feels premium and reliable,True,1,Germany,positive,unclassified,0,positive,False,2025-10
R00076,2026-01-08,P008,3,acceptable overall with room to improve,True,0,United States,neutral,unclassified,0,neutral,False,2026-01
R00077,2025-10-31,P027,1,instructions are unclear,True,3,United States,negative,usability,1,negative,False,2025-10
R00078,2026-06-07,P017,2,instructions are unclear,True,2,United States,negative,usability,1,negative,False,2026-06
R00079,2025-11-15,P011,5,easy to set up and use,True,1,United States,positive,usability,1,positive,False,2025-11
R00080,2025-11-30,P001,5,excellent price to performance,True,7,Canada,positive,value,1,positive,False,2025-11
R00081,2025-09-27,P007,1,durability is unacceptable,True,1,Canada,negative,unclassified,0,negative,False,2025-09
R00082,2025-11-30,P023,4,fits perfectly and feels comfortable,True,0,United States,positive,fit,2,positive,False,2025-11
R00083,2026-05-27,P020,4,better quality than expected,True,2,United States,neutral,quality,1,positive,False,2026-05
R00084,2026-04-24,P007,5,great value for the price,True,1,United States,positive,value,2,positive,False,2026-04
R00085,2026-02-21,P013,5,arrived early and well packaged,True,5,Australia,positive,delivery,1,positive,False,2026-02
R00086,2025-08-22,P002,5,very durable in daily use,True,1,Canada,positive,durability,1,positive,False,2025-08
R00087,2026-05-11,P005,4,fits perfectly and feels comfortable,True,3,United States,positive,fit,2,positive,False,2026-05
R00088,2026-04-23,P009,4,poor build quality and cheap materials,True,0,United States,negative,quality,2,positive,True,2026-04
R00089,2026-06-30,P022,4,arrived early and well packaged,True,1,United Kingdom,positive,delivery,1,positive,False,2026-06
R00090,2026-07-27,P019,2,acceptable overall with room to improve,True,0,United Kingdom,neutral,unclassified,0,negative,False,2026-07
R00091,2025-09-08,P018,3,acceptable overall with room to improve,True,2,Australia,neutral,unclassified,0,neutral,False,2025-09
R00092,2026-01-06,P011,4,better quality than expected,True,3,United Kingdom,neutral,quality,1,positive,False,2026-01
R00093,2026-02-04,P016,3,does not fit as described,True,6,Australia,negative,fit,1,neutral,False,2026-02
R00094,2025-12-30,P026,4,excellent build quality,True,0,Germany,positive,quality,1,positive,False,2025-12
R00095,2025-08-13,P007,4,fast delivery with no damage,True,0,United States,positive,delivery,1,positive,False,2025-08
R00096,2026-06-16,P019,3,average experience,True,3,United States,neutral,unclassified,0,neutral,False,2026-06
R00097,2026-05-14,P026,5,great value for the price,True,7,Germany,positive,value,2,positive,False,2026-05
R00098,2025-12-20,P028,2,does not fit as described,True,5,United States,negative,fit,1,negative,False,2025-12
R00099,2026-03-13,P021,5,has held up really well,True,4,Germany,neutral,unclassified,0,positive,False,2026-03
R00100,2026-07-28,P006,5,arrived early and well packaged,False,0,United States,positive,delivery,1,positive,False,2026-07
R00101,2025-10-09,P022,5,worth every dollar,True,4,United States,positive,value,1,positive,False,2025-10
R00102,2025-10-16,P003,4,excellent build quality,True,0,United Kingdom,positive,quality,1,positive,False,2025-10
R00103,2026-01-07,P025,1,arrived late with damaged packaging,True,2,Germany,negative,delivery,2,negative,False,2026-01
R00104,2026-03-03,P005,2,defective finish out of the box,False,8,United Kingdom,negative,quality,1,negative,False,2026-03
R00105,2025-11-13,P013,4,has held up really well,True,3,Canada,neutral,unclassified,0,positive,False,2025-11
R00106,2025-10-13,P027,4,still works perfectly after months,True,1,United Kingdom,positive,durability,1,positive,False,2025-10
R00107,2026-02-17,P024,2,defective finish out of the box,True,1,Canada,negative,quality,1,negative,False,2026-02
R00108,2026-06-10,P002,5,very durable in daily use,True,0,United States,positive,durability,1,positive,False,2026-06
R00109,2025-09-10,P008,5,very durable in daily use,True,2,United Kingdom,positive,durability,1,positive,False,2025-09
R00110,2025-11-29,P014,5,fast delivery with no damage,True,3,Germany,positive,delivery,1,positive,False,2025-11
R00111,2026-04-25,P020,1,confusing setup and difficult controls,True,8,United States,negative,usability,2,negative,False,2026-04
R00112,2026-02-20,P008,3,does what the listing says,True,1,Germany,neutral,unclassified,0,neutral,False,2026-02
R00113,2025-11-13,P016,5,size and fit are exactly right,False,8,Canada,positive,fit,2,positive,False,2025-11
R00114,2025-08-15,P030,2,poor build quality and cheap materials,True,0,United States,negative,quality,2,negative,False,2025-08
R00115,2026-03-30,P013,4,has held up really well,True,5,United States,neutral,unclassified,0,positive,False,2026-03
R00116,2025-10-28,P011,5,feels premium and reliable,True,0,United States,positive,unclassified,0,positive,False,2025-10
R00117,2026-06-25,P022,3,works as expected,True,1,Australia,neutral,unclassified,0,neutral,False,2026-06
R00118,2025-10-27,P026,5,feels premium and reliable,True,3,Australia,positive,unclassified,0,positive,False,2025-10
R00119,2026-01-08,P017,4,simple controls and clear instructions,True,2,United Kingdom,positive,usability,2,positive,False,2026-01
R00120,2026-05-20,P011,4,arrived early and well packaged,True,1,United Kingdom,positive,delivery,1,positive,False,2026-05
R00121,2025-11-11,P009,4,excellent build quality,True,0,Germany,positive,quality,1,positive,False,2025-11
R00122,2026-05-31,P013,1,overpriced for what it offers,True,3,United States,negative,value,2,negative,False,2026-05
R00123,2025-10-17,P024,5,comfortable for long sessions,True,3,Germany,positive,fit,1,positive,False,2025-10
R00124,2025-11-20,P020,4,very durable in daily use,True,1,United States,positive,durability,1,positive,False,2025-11
R00125,2026-02-19,P028,2,defective finish out of the box,True,4,United States,negative,quality,1,negative,False,2026-02
R00126,2026-07-28,P022,5,fast delivery with no damage,True,1,United Kingdom,positive,delivery,1,positive,False,2026-07
R00127,2025-11-28,P029,4,arrived early and well packaged,True,0,United Kingdom,positive,delivery,1,positive,False,2025-11
R00128,2025-08-12,P030,3,works as expected,True,1,United States,neutral,unclassified,0,neutral,False,2025-08
R00129,2025-12-11,P029,3,acceptable overall with room to improve,True,1,United States,neutral,unclassified,0,neutral,False,2025-12
R00130,2026-05-12,P008,4,very durable in daily use,True,7,United States,positive,durability,1,positive,False,2026-05
R00131,2026-05-04,P001,5,has held up really well,True,3,United States,neutral,unclassified,0,positive,False,2026-05
R00132,2025-12-14,P014,5,excellent build quality,True,7,Canada,positive,quality,1,positive,False,2025-12
R00133,2025-11-15,P011,5,very durable in daily use,True,6,United Kingdom,positive,durability,1,positive,False,2025-11
R00134,2025-08-02,P002,1,stopped working after a few weeks,True,0,United Kingdom,negative,durability,2,negative,False,2025-08
R00135,2026-02-23,P012,5,great value for the price,True,3,United States,positive,value,2,positive,False,2026-02
R00136,2025-08-21,P006,5,fine,False,2,Canada,neutral,unclassified,0,positive,False,2025-08
R00137,2025-12-29,P015,1,quality is disappointing,True,6,United States,negative,quality,1,negative,False,2025-12
R00138,2026-05-19,P020,5,better quality than expected,True,3,United States,neutral,quality,1,positive,False,2026-05
R00139,2026-04-21,P016,4,comfortable for long sessions,True,2,Australia,positive,fit,1,positive,False,2026-04
R00140,2026-05-22,P020,4,works intuitively,True,2,United States,positive,usability,1,positive,False,2026-05
R00141,2026-05-08,P016,5,excellent build quality,True,1,Australia,positive,quality,1,positive,False,2026-05
R00142,2026-06-26,P024,4,very durable in daily use,False,7,Germany,positive,durability,1,positive,False,2026-06
R00143,2026-03-04,P021,4,worth every dollar,True,2,United States,positive,value,1,positive,False,2026-03
R00144,2026-03-23,P022,1,arrived late with damaged packaging,True,1,Canada,negative,delivery,2,negative,False,2026-03
R00145,2025-10-26,P019,5,fits perfectly and feels comfortable,True,3,United States,positive,fit,2,positive,False,2025-10
R00146,2026-07-28,P016,4,excellent build quality,True,12,United States,positive,quality,1,positive,False,2026-07
R00147,2026-07-01,P008,5,fast delivery with no damage,True,2,Australia,positive,delivery,1,positive,False,2026-07
R00148,2025-11-28,P014,5,shipping was smooth,True,3,United States,positive,delivery,1,positive,False,2025-11
R00149,2025-12-29,P002,3,broke much sooner than expected,True,0,Canada,negative,durability,1,neutral,False,2025-12
R00150,2026-07-09,P014,5,simple controls and clear instructions,True,4,Canada,positive,usability,2,positive,False,2026-07
R00151,2026-07-17,P020,4,shipping was smooth,True,9,United States,positive,delivery,1,positive,False,2026-07
R00152,2025-11-04,P001,5,worth every dollar,True,3,United States,positive,value,1,positive,False,2025-11
R00153,2025-08-15,P003,4,very durable in daily use,True,2,United States,positive,durability,1,positive,False,2025-08
R00154,2026-03-04,P029,4,fits perfectly and feels comfortable,True,1,United Kingdom,positive,fit,2,positive,False,2026-03
R00155,2025-11-30,P017,5,simple controls and clear instructions,True,5,United Kingdom,positive,usability,2,positive,False,2025-11
R00156,2025-11-16,P019,2,broke much sooner than expected,True,7,United States,negative,durability,1,negative,False,2025-11
R00157,2025-11-12,P019,1,does not fit as described,True,1,United States,negative,fit,1,negative,False,2025-11
R00158,2026-04-13,P009,5,size and fit are exactly right,True,3,United States,positive,fit,2,positive,False,2026-04
R00159,2026-06-18,P025,4,excellent price to performance,False,4,United States,positive,value,1,positive,False,2026-06
R00160,2025-12-24,P017,1,confusing setup and difficult controls,True,4,Germany,negative,usability,2,negative,False,2025-12
R00161,2026-05-25,P002,3,broke much sooner than expected,False,3,United States,negative,durability,1,neutral,False,2026-05
R00162,2025-08-06,P019,5,excellent build quality,True,2,Canada,positive,quality,1,positive,False,2025-08
R00163,2026-07-29,P025,3,works as expected,True,1,United States,neutral,unclassified,0,neutral,False,2026-07
R00164,2025-12-09,P014,1,poor value compared with alternatives,True,2,United States,negative,value,1,negative,False,2025-12
R00165,2026-03-10,P019,4,simple controls and clear instructions,True,8,Germany,positive,usability,2,positive,False,2026-03
R00166,2025-08-09,P030,4,arrived early and well packaged,True,1,United Kingdom,positive,delivery,1,positive,False,2025-08
R00167,2025-12-20,P002,5,very durable in daily use,True,3,Canada,positive,durability,1,positive,False,2025-12
R00168,2026-06-18,P029,4,fits perfectly and feels comfortable,True,0,Germany,positive,fit,2,positive,False,2026-06
R00169,2026-03-28,P029,4,excellent price to performance,True,12,Canada,positive,value,1,positive,False,2026-03
R00170,2026-01-07,P029,4,fits perfectly and feels comfortable,True,7,Germany,positive,fit,2,positive,False,2026-01
R00171,2025-11-02,P005,3,poor value compared with alternatives,True,2,Germany,negative,value,1,neutral,False,2025-11
R00172,2025-08-02,P005,4,great value for the price,True,6,United States,positive,value,2,positive,False,2025-08
R00173,2026-07-21,P005,5,better quality than expected,True,3,United Kingdom,neutral,quality,1,positive,False,2026-07
R00174,2026-03-16,P007,3,does what the listing says,False,6,Canada,neutral,unclassified,0,neutral,False,2026-03
R00175,2025-09-10,P001,3,acceptable overall with room to improve,True,1,United Kingdom,neutral,unclassified,0,neutral,False,2025-09
R00176,2026-02-08,P019,4,arrived early and well packaged,True,2,United States,positive,delivery,1,positive,False,2026-02
R00177,2025-10-22,P019,1,instructions are unclear,True,3,United Kingdom,negative,usability,1,negative,False,2025-10
R00178,2026-07-02,P025,2,uncomfortable and badly sized,True,1,United States,negative,fit,2,negative,False,2026-07
R00179,2026-02-26,P009,3,stopped working after a few weeks,True,5,United Kingdom,negative,durability,2,neutral,False,2026-02
R00180,2026-04-16,P005,4,great value for the price,True,3,United States,positive,value,2,positive,False,2026-04
R00181,2026-01-04,P009,3,defective finish out of the box,True,4,United Kingdom,negative,quality,1,neutral,False,2026-01
R00182,2025-10-24,P022,5,shipping was smooth,True,1,Australia,positive,delivery,1,positive,False,2025-10
R00183,2026-05-25,P006,1,delivery took far too long,True,2,United States,neutral,delivery,1,negative,False,2026-05
R00184,2026-01-22,P003,3,does not fit as described,True,0,Australia,negative,fit,1,neutral,False,2026-01
R00185,2025-10-21,P008,2,delivery took far too long,True,0,United States,neutral,delivery,1,negative,False,2025-10
R00186,2025-08-01,P020,4,comfortable for long sessions,False,3,Australia,positive,fit,1,positive,False,2025-08
R00187,2026-02-14,P014,5,worth every dollar,True,8,United Kingdom,positive,value,1,positive,False,2026-02
R00188,2026-05-06,P017,2,frustrating to use,True,1,Canada,negative,usability,1,negative,False,2026-05
R00189,2026-03-27,P019,1,instructions are unclear,True,5,Canada,negative,usability,1,negative,False,2026-03
R00190,2026-07-19,P007,5,arrived early and well packaged,True,1,United Kingdom,positive,delivery,1,positive,False,2026-07
R00191,2025-11-07,P024,5,easy to set up and use,True,2,United Kingdom,positive,usability,1,positive,False,2025-11
R00192,2026-01-18,P009,5,excellent build quality,True,2,Germany,positive,quality,1,positive,False,2026-01
R00193,2026-07-31,P002,1,durability is unacceptable,True,1,United States,negative,unclassified,0,negative,False,2026-07
R00194,2026-07-05,P009,1,defective finish out of the box,False,6,United States,negative,quality,1,negative,False,2026-07
R00195,2026-07-03,P015,4,fits perfectly and feels comfortable,True,4,United States,positive,fit,2,positive,False,2026-07
R00196,2025-09-03,P012,5,great value for the price,True,0,United States,positive,value,2,positive,False,2025-09
R00197,2025-11-26,P029,5,size and fit are exactly right,True,7,Canada,positive,fit,2,positive,False,2025-11
R00198,2026-07-22,P026,5,excellent price to performance,True,2,United States,positive,value,1,positive,False,2026-07
R00199,2025-10-16,P020,5,simple controls and clear instructions,True,0,Canada,positive,usability,2,positive,False,2025-10
R00200,2025-11-15,P008,3,does what the listing says,True,0,United Kingdom,neutral,unclassified,0,neutral,False,2025-11
R00201,2025-09-07,P007,4,feels premium and reliable,True,2,United States,positive,unclassified,0,positive,False,2025-09
R00202,2026-01-14,P023,1,not worth the price,False,6,United States,neutral,value,2,negative,False,2026-01
R00203,2026-03-19,P003,5,great value for the price,True,3,Germany,positive,value,2,positive,False,2026-03
R00204,2026-04-04,P026,5,simple controls and clear instructions,True,1,Australia,positive,usability,2,positive,False,2026-04
R00205,2026-07-28,P018,3,works as expected,True,2,Australia,neutral,unclassified,0,neutral,False,2026-07
R00206,2026-03-07,P025,5,shipping was smooth,True,4,United States,positive,delivery,1,positive,False,2026-03
R00207,2026-06-23,P025,5,fits perfectly and feels comfortable,True,1,United Kingdom,positive,fit,2,positive,False,2026-06
R00208,2026-05-25,P018,5,great value for the price,True,0,Canada,positive,value,2,positive,False,2026-05
R00209,2026-07-12,P005,4,size and fit are exactly right,True,7,United States,positive,fit,2,positive,False,2026-07
R00210,2025-08-22,P015,5,fast delivery with no damage,True,0,Australia,positive,delivery,1,positive,False,2025-08
R00211,2026-01-26,P029,5,great value for the price,True,0,Canada,positive,value,2,positive,False,2026-01
R00212,2026-07-05,P018,5,fast delivery with no damage,True,7,United States,positive,delivery,1,positive,False,2026-07
R00213,2025-10-15,P016,3,works as expected,True,0,United Kingdom,neutral,unclassified,0,neutral,False,2025-10
R00214,2026-06-29,P019,4,excellent price to performance,False,3,United States,positive,value,1,positive,False,2026-06
R00215,2025-12-17,P005,4,great value for the price,True,0,Canada,positive,value,2,positive,False,2025-12
R00216,2025-10-28,P023,5,easy to set up and use,False,2,United States,positive,usability,1,positive,False,2025-10
R00217,2025-11-03,P030,4,feels premium and reliable,True,1,United States,positive,unclassified,0,positive,False,2025-11
R00218,2026-07-27,P002,4,durability is unacceptable,True,3,Australia,negative,unclassified,0,positive,True,2026-07
R00219,2025-10-22,P008,3,acceptable overall with room to improve,True,2,United Kingdom,neutral,unclassified,0,neutral,False,2025-10
R00220,2026-03-22,P013,5,ok,False,2,United Kingdom,neutral,unclassified,0,positive,False,2026-03
R00221,2025-11-28,P022,5,arrived early and well packaged,True,2,United Kingdom,positive,delivery,1,positive,False,2025-11
R00222,2026-05-02,P011,3,average experience,True,2,United States,neutral,unclassified,0,neutral,False,2026-05
R00223,2025-10-25,P030,4,fast delivery with no damage,True,5,Canada,positive,delivery,1,positive,False,2025-10
R00224,2025-10-08,P012,3,does what the listing says,True,3,United Kingdom,neutral,unclassified,0,neutral,False,2025-10
R00225,2026-05-07,P003,5,better quality than expected,True,6,Germany,neutral,quality,1,positive,False,2026-05
R00226,2026-05-11,P006,4,easy to set up and use,True,2,United States,positive,usability,1,positive,False,2026-05
R00227,2026-01-31,P007,5,excellent price to performance,True,1,United States,positive,value,1,positive,False,2026-01
R00228,2026-06-27,P005,5,still works perfectly after months,True,10,United States,positive,durability,1,positive,False,2026-06
R00229,2025-09-25,P015,5,comfortable for long sessions,True,1,Germany,positive,fit,1,positive,False,2025-09
R00230,2025-10-09,P003,4,shipping was smooth,False,0,Canada,positive,delivery,1,positive,False,2025-10
R00231,2026-03-07,P005,5,very durable in daily use,True,1,Germany,positive,durability,1,positive,False,2026-03
R00232,2026-01-02,P003,4,shipping was smooth,True,4,United States,positive,delivery,1,positive,False,2026-01
R00233,2026-06-26,P020,2,defective finish out of the box,True,1,United States,negative,quality,1,negative,False,2026-06
R00234,2026-07-03,P003,4,excellent price to performance,True,0,Germany,positive,value,1,positive,False,2026-07
R00235,2025-11-12,P004,5,shipping was smooth,True,1,United Kingdom,positive,delivery,1,positive,False,2025-11
R00236,2026-03-29,P019,1,quality is disappointing,True,3,Canada,negative,quality,1,negative,False,2026-03
R00237,2026-04-21,P001,1,does not fit as described,True,0,United States,negative,fit,1,negative,False,2026-04
R00238,2026-04-12,P025,4,fast delivery with no damage,True,6,United Kingdom,positive,delivery,1,positive,False,2026-04
R00239,2026-05-04,P019,5,shipping was smooth,True,2,Canada,positive,delivery,1,positive,False,2026-05
R00240,2025-08-25,P015,5,feels premium and reliable,True,0,United States,positive,unclassified,0,positive,False,2025-08
R00241,2025-10-22,P021,3,average experience,True,3,Australia,neutral,unclassified,0,neutral,False,2025-10
R00242,2026-02-18,P030,4,simple controls and clear instructions,True,1,United States,positive,usability,2,positive,False,2026-02
R00243,2025-10-24,P015,4,excellent price to performance,False,1,Australia,positive,value,1,positive,False,2025-10
R00244,2025-12-12,P019,5,great value for the price,True,4,United States,positive,value,2,positive,False,2025-12
R00245,2025-09-12,P026,1,confusing setup and difficult controls,True,3,United States,negative,usability,2,negative,False,2025-09
R00246,2026-06-09,P029,4,fast delivery with no damage,True,1,Canada,positive,delivery,1,positive,False,2026-06
R00247,2025-11-17,P027,5,excellent price to performance,True,9,United States,positive,value,1,positive,False,2025-11
R00248,2026-05-14,P023,5,has held up really well,True,3,United Kingdom,neutral,unclassified,0,positive,False,2026-05
R00249,2026-03-17,P001,4,excellent build quality,True,0,United Kingdom,positive,quality,1,positive,False,2026-03
R00250,2025-11-29,P026,4,frustrating to use,True,1,United Kingdom,negative,usability,1,positive,True,2025-11
R00251,2025-09-21,P030,1,uncomfortable and badly sized,True,4,Germany,negative,fit,2,negative,False,2025-09
R00252,2026-01-09,P001,3,average experience,True,8,United Kingdom,neutral,unclassified,0,neutral,False,2026-01
R00253,2026-06-16,P010,5,comfortable for long sessions,True,4,United States,positive,fit,1,positive,False,2026-06
R00254,2026-01-29,P012,1,durability is unacceptable,True,3,United States,negative,unclassified,0,negative,False,2026-01
R00255,2025-08-06,P028,5,excellent price to performance,True,10,United States,positive,value,1,positive,False,2025-08
R00256,2025-12-29,P024,5,feels premium and reliable,True,4,United Kingdom,positive,unclassified,0,positive,False,2025-12
R00257,2026-04-19,P018,4,comfortable for long sessions,True,2,United States,positive,fit,1,positive,False,2026-04
R00258,2025-12-11,P002,5,easy to set up and use,True,2,United Kingdom,positive,usability,1,positive,False,2025-12
R00259,2026-07-22,P024,5,fits perfectly and feels comfortable,True,4,Germany,positive,fit,2,positive,False,2026-07
R00260,2025-10-12,P001,4,shipping was smooth,False,1,Canada,positive,delivery,1,positive,False,2025-10
R00261,2026-06-30,P017,1,does not fit as described,True,0,United States,negative,fit,1,negative,False,2026-06
R00262,2025-09-22,P005,4,easy to set up and use,True,4,United Kingdom,positive,usability,1,positive,False,2025-09
R00263,2026-06-07,P024,5,great value for the price,True,0,United States,positive,value,2,positive,False,2026-06
R00264,2026-02-21,P026,5,easy to set up and use,True,2,United States,positive,usability,1,positive,False,2026-02
R00265,2026-06-19,P024,1,instructions are unclear,True,2,United Kingdom,negative,usability,1,negative,False,2026-06
R00266,2026-06-08,P008,4,excellent price to performance,True,3,Australia,positive,value,1,positive,False,2026-06
R00267,2026-02-01,P014,3,acceptable overall with room to improve,True,0,Canada,neutral,unclassified,0,neutral,False,2026-02
R00268,2026-05-01,P018,5,size and fit are exactly right,True,0,Germany,positive,fit,2,positive,False,2026-05
R00269,2025-08-05,P007,4,shipping was smooth,True,4,United States,positive,delivery,1,positive,False,2025-08
